cncdate,shares,amount,buy_flag
2023-11-09,516.0,207741.44,0
2023-11-10,5885.0,2400550.35,0
2023-11-13,5000.0,2059500.0,0
2023-11-14,12813.0,5402291.209999999,0
2023-11-16,6413.0,2686835.93,0
2023-11-20,250.0,105117.5,0
2023-11-27,1200.0,514692.00000000006,0
2023-11-28,154.0,66472.56,0
2023-12-11,675.0,309865.5,0
2023-12-13,4387.0,2050352.19,0
2023-12-15,1655.0,752274.8200000001,0
2024-02-09,10000.0,4613058.699999999,0
2024-02-16,682.0,308946.0,0
2024-02-22,5000.0,2275017.0,0
2024-02-23,7259.0,3336375.96,0
2024-02-27,10000.0,4596806.18,0
2024-02-28,250.0,116137.5,0
2024-02-29,720.0,334713.6,0
2024-03-01,18716.0,8773934.04,0
2024-03-07,5000.0,2350450.0,0
2024-03-14,1460.0,694609.6,0
2024-05-16,600.0,268578.0,0
2024-05-20,10439.0,4752224.83,0
2024-05-22,800.0,363656.0,0
2024-06-04,705.0,302437.95,0
2024-06-06,10000.0,4392900.0,0
2024-07-31,24381.0,12294720.48,0
2024-08-05,1683.0,783520.65,0
2024-08-07,5000.0,2391300.0,0
2024-08-13,10000.0,4800798.87,0
2024-08-15,6710.0,3245326.7,0
2024-08-26,443.0,214243.66,0
2024-08-27,670.0,323757.4,0
2024-08-29,10173.0,4984320.0,0
2024-09-09,710.0,349275.9,0
2024-09-10,2128.0,1064319.2,0
2024-09-11,1426.0,713327.98,0
2024-09-12,40506.0,20450022.01,0
2024-09-13,478.0,241872.78,0
2024-11-06,11500.0,6151082.8,0
2024-11-07,4447.0,2403425.62,0
2024-11-08,38051.0,20801508.16,0
2024-11-11,10876.0,6005050.66,0
2024-11-12,3752.0,2068893.6,0
2024-11-13,14534.0,8038171.24,0
2024-11-15,1743.0,921367.23,0
2024-11-26,5000.0,2620079.43,0
2024-11-27,411.0,214229.44,0
2024-12-06,189.0,98949.06,0
2024-12-11,173.0,89930.59000000001,0
2025-02-10,90.0,47745.9,0
2025-02-24,1200.0,587724.0,0
2025-02-26,1740.0,881257.8,0
2025-02-27,90.0,44387.1,0
2025-05-07,848.0,370135.65,0
2025-05-13,3953.0,1778940.97,0
2025-05-15,25.0,11250.0,0
2025-05-16,188.0,84067.96,0
2025-05-19,625.0,281250.0,0
2025-05-21,5396.0,2421616.88,0
2025-06-09,1880.0,792438.7999999999,0
2025-06-12,655.0,270704.95,0
